id,num_trimestre,taux_chomage,revenu_median,taux_pauvrete,taux_criminalite
1,2003,8.65,,,
2,2004,8.72,,,
3,2005,8.62,,,
4,2006,8.7,,,
5,2007,7.92,,,
6,2008,7.22,,,
7,2009,9.02,,,
8,2010,9.02,,,
9,2011,8.98,,,
10,2012,9.7,,,
11,2013,10.4,,,
12,2014,10.58,,,
13,2015,10.92,,,
14,2016,10.6,,,62.356677399999995
15,2017,9.9,,,56.6030966
16,2018,9.52,,,55.8328408
17,2019,8.9,,,59.4153883
18,2020,8.52,,,45.8212925
19,2021,7.98,,,47.8992269
20,2022,7.35,,,55.1308874
21,2023,7.02,,,54.7787853
22,2024,7.05,,,56.1384327
23,2025,7.25,,,
