bureau vote;nom bureau vote;circonscription;inscrits;abstentions;votants_urne;votants_emarg;blancs;nuls;exprimes;Emmanuel Macron;Marine Le Pen;Geo Shape;geo_point_2d
101;HOTEL DE VILLE;01;1259;339;920;920;71;11;838;673;165;"{""coordinates"": [[[-0.5556563027426202, 47.47513848424989], [-0.55482641489964, 47.474319807713925], [-0.5530208874426771, 47.4747554446249], [-0.5502041903260549, 47.47312877775599], [-0.5500371722693751, 47.47303414729872], [-0.5495184446462159, 47.473339847620906], [-0.5492509356044153, 47.47355363497621], [-0.5472043261891065, 47.47459887552486], [-0.5487493901478007, 47.475282443925025], [-0.5539111710519493, 47.47755345454319], [-0.5540220683397127, 47.47742650468997], [-0.5541692505852166, 47.47722262306755], [-0.5542619166671425, 47.47709515357983], [-0.5545071003253169, 47.47675427330523], [-0.5546046921342258, 47.47663493565434], [-0.554745634868975, 47.47642917423213], [-0.5548630309008827, 47.476260514235435], [-0.5549773763197334, 47.47611571894398], [-0.5551296066378755, 47.47589610320248], [-0.5552638274290819, 47.475705044610194], [-0.5553965231723599, 47.47551304232228], [-0.5556563027426202, 47.47513848424989]]], ""type"": ""Polygon""}";47.47522053540739, -0.5517866094482545
102;HOTEL DE VILLE;01;1553;475;1078;1078;55;25;998;797;201;"{""coordinates"": [[[-0.5490878008389112, 47.46944151313615], [-0.5478479255110171, 47.47038921667245], [-0.5469863381137534, 47.47126927905593], [-0.5470860035006047, 47.471316009988755], [-0.547012440789036, 47.47142938069691], [-0.5446310598079087, 47.470600933001684], [-0.5440782002901636, 47.47135218920102], [-0.5434920130261554, 47.471504972255524], [-0.5434757423277946, 47.4715278017633], [-0.5427161734765302, 47.47259666543443], [-0.5438532141059664, 47.473251305738295], [-0.5454409787252871, 47.47381196018658], [-0.5472043261891065, 47.47459887552486], [-0.5492509356044153, 47.47355363497621], [-0.5495184446462159, 47.473339847620906], [-0.5500371722693751, 47.47303414729872], [-0.5502041903260549, 47.47312877775599], [-0.5506543485011303, 47.473102419926235], [-0.5512896713372681, 47.47303101733098], [-0.5517826401176424, 47.472959758317614], [-0.5527530791950637, 47.47226431620489], [-0.5520253834246068, 47.47155250760957], [-0.5513040166789629, 47.470865531705286], [-0.5490878008389112, 47.46944151313615]]], ""type"": ""Polygon""}";47.47214401276148, -0.5477613566498339
103;SALONS CURNONSKY-WELCOME;01;1208;383;825;825;47;10;768;626;142;"{""coordinates"": [[[-0.5582030262130239, 47.47264475592008], [-0.5558307566714761, 47.47113526688182], [-0.5553697729618418, 47.470884740773464], [-0.5555289262974485, 47.47076872842063], [-0.5554610360234745, 47.47071472316064], [-0.555545802674505, 47.47058650473457], [-0.5549261777732862, 47.4701839198132], [-0.5546812549512183, 47.470115735784894], [-0.554153881451036, 47.47008523980475], [-0.5539070393766704, 47.470218446152], [-0.5531733122804312, 47.470741569533445], [-0.5520253834246068, 47.47155250760957], [-0.5527530791950637, 47.47226431620489], [-0.5517826401176424, 47.472959758317614], [-0.5512896713372681, 47.47303101733098], [-0.5506543485011303, 47.473102419926235], [-0.5502041903260549, 47.47312877775599], [-0.5530208874426771, 47.4747554446249], [-0.55482641489964, 47.474319807713925], [-0.5556563027426202, 47.47513848424989], [-0.5562085495034194, 47.474397723466474], [-0.5563726745500099, 47.47414964634746], [-0.5564574444821894, 47.47402142739292], [-0.5566377104898534, 47.47380814893235], [-0.5567825282372502, 47.473638641808186], [-0.5568478974428638, 47.47356180357643], [-0.5582030262130239, 47.47264475592008]]], ""type"": ""Polygon""}";47.4726825395745, -0.554436118277277
104;SALONS CURNONSKY - WELCOME;01;1348;339;1009;1009;58;16;935;750;185;"{""coordinates"": [[[-0.5586362472556767, 47.46862211430329], [-0.5530275239986001, 47.46645854792157], [-0.5490878008389112, 47.46944151313615], [-0.5513040166789629, 47.470865531705286], [-0.5520253834246068, 47.47155250760957], [-0.5531733122804312, 47.470741569533445], [-0.5539070393766704, 47.470218446152], [-0.554153881451036, 47.47008523980475], [-0.5546812549512183, 47.470115735784894], [-0.5549261777732862, 47.4701839198132], [-0.555545802674505, 47.47058650473457], [-0.5554610360234745, 47.47071472316064], [-0.5555289262974485, 47.47076872842063], [-0.5553697729618418, 47.470884740773464], [-0.5558307566714761, 47.47113526688182], [-0.5582030262130239, 47.47264475592008], [-0.5624415389804958, 47.47012470587195], [-0.5586362472556767, 47.46862211430329]]], ""type"": ""Polygon""}";47.46954482551751, -0.555495782226343
105;ECOLE PRIMAIRE DE LA BLANCHERAIE;01;1414;362;1052;1052;54;25;973;814;159;"{""coordinates"": [[[-0.5595663443577203, 47.46376494225475], [-0.558424187206128, 47.46408783809015], [-0.5592786387042777, 47.46630228161413], [-0.5589525291986552, 47.468130551058564], [-0.5586362472556767, 47.46862211430329], [-0.5624415389804958, 47.47012470587195], [-0.5625773752121046, 47.47016409484474], [-0.5627847696627206, 47.47024080396292], [-0.5645401624164305, 47.469265581467894], [-0.5645726744912681, 47.46913473693535], [-0.5662469104262642, 47.46783009597985], [-0.5654144883478015, 47.4673975813977], [-0.5657395258788198, 47.46480945239653], [-0.5666170029534036, 47.46225089438482], [-0.5661152723707832, 47.46246475828081], [-0.5646195585722619, 47.46324587909063], [-0.5639524683634709, 47.46355812264894], [-0.5632597075453252, 47.46288267088708], [-0.5618455660718382, 47.463342667039626], [-0.5600018642412069, 47.46363832968957], [-0.5595663443577203, 47.46376494225475]]], ""type"": ""Polygon""}";47.46630979738856, -0.5624634709290467
106;ECOLE PRIMAIRE DE LA BLANCHERAIE;01;1037;277;760;760;57;17;686;551;135;"{""coordinates"": [[[-0.558424187206128, 47.46408783809015], [-0.5527705515156862, 47.4646326686391], [-0.5492529579096326, 47.46497236431957], [-0.5530275239986001, 47.46645854792157], [-0.5586362472556767, 47.46862211430329], [-0.5589525291986552, 47.468130551058564], [-0.5592786387042777, 47.46630228161413], [-0.558424187206128, 47.46408783809015]]], ""type"": ""Polygon""}";47.46594623947383, -0.5557117115154943
107;LYCEE DAVID D'ANGERS;01;1180;293;887;887;60;16;811;681;130;"{""coordinates"": [[[-0.5490878008389112, 47.46944151313615], [-0.5530275239986001, 47.46645854792157], [-0.5492529579096326, 47.46497236431957], [-0.5488133161557767, 47.464809398621334], [-0.5486495914867735, 47.465039715074376], [-0.5454386277521027, 47.469466380727894], [-0.5447068163332828, 47.46921782738481], [-0.5445580903181552, 47.46946640480841], [-0.5440153305883892, 47.46973230019853], [-0.544172390979419, 47.470042082410224], [-0.543915819765964, 47.47035213574279], [-0.547012440789036, 47.47142938069691], [-0.5470860035006047, 47.471316009988755], [-0.5469863381137534, 47.47126927905593], [-0.5478479255110171, 47.47038921667245], [-0.5490878008389112, 47.46944151313615]]], ""type"": ""Polygon""}";47.46807409465025, -0.5484047745813272
108;LYCEE DAVID D'ANGERS;01;904;157;747;747;42;7;698;567;131;"{""coordinates"": [[[-0.5440153305883892, 47.46973230019853], [-0.5445580903181552, 47.46946640480841], [-0.5447068163332828, 47.46921782738481], [-0.5415712341363308, 47.468149013747464], [-0.5423836402358199, 47.46708258549166], [-0.5435501184623452, 47.46615898303877], [-0.542503476304451, 47.465549381010355], [-0.5391412506094174, 47.46585500411049], [-0.5362991324967183, 47.46608535112587], [-0.5366123462493468, 47.46722314584882], [-0.5440153305883892, 47.46973230019853]]], ""type"": ""Polygon""}";47.46718716673294, -0.5403746352066623
109;LYCEE DAVID D'ANGERS;01;965;196;769;769;57;11;701;578;123;"{""coordinates"": [[[-0.5454386277521027, 47.469466380727894], [-0.5486495914867735, 47.465039715074376], [-0.5453334196348338, 47.4653461758292], [-0.5422537729640878, 47.46391847513894], [-0.5411874735345542, 47.463152614174355], [-0.5407408240182238, 47.46338961613778], [-0.5405539415597358, 47.46361756915422], [-0.540410538379025, 47.463948005685644], [-0.5403618212467465, 47.46413534437657], [-0.5400237468635642, 47.46439386469171], [-0.5414697452664531, 47.46492793883912], [-0.542503476304451, 47.465549381010355], [-0.5435501184623452, 47.46615898303877], [-0.5423836402358199, 47.46708258549166], [-0.5415712341363308, 47.468149013747464], [-0.5447068163332828, 47.46921782738481], [-0.5454386277521027, 47.469466380727894]]], ""type"": ""Polygon""}";47.46646271824507, -0.5443512091234338
110;ECOLE CONDORCET;01;1284;323;961;961;81;18;862;705;157;"{""coordinates"": [[[-0.5584783014769885, 47.46002806657474], [-0.5521114704349224, 47.46059486199598], [-0.5524281095457837, 47.4625352415265], [-0.5527705515156862, 47.4646326686391], [-0.558424187206128, 47.46408783809015], [-0.5595663443577203, 47.46376494225475], [-0.558935934404033, 47.46215101660868], [-0.5584919729286286, 47.46052917942263], [-0.5584783014769885, 47.46002806657474]]], ""type"": ""Polygon""}";47.46233426682188, -0.5556812623978364
111;ECOLE CONDORCET;01;1256;272;984;984;29;12;943;737;206;"{""coordinates"": [[[-0.5448739754678337, 47.458236936152105], [-0.5488133161557767, 47.464809398621334], [-0.5492529579096326, 47.46497236431957], [-0.5527705515156862, 47.4646326686391], [-0.5524281095457837, 47.4625352415265], [-0.5521114704349224, 47.46059486199598], [-0.5517531650058725, 47.45858102851699], [-0.550252607987657, 47.459997894239635], [-0.5448739754678337, 47.458236936152105]]], ""type"": ""Polygon""}";47.461755907828156, -0.549510290036314
112;ECOLE CONDORCET;01;1249;275;974;974;60;11;903;739;164;"{""coordinates"": [[[-0.5517531650058725, 47.45858102851699], [-0.5521114704349224, 47.46059486199598], [-0.5584783014769885, 47.46002806657474], [-0.558456006157067, 47.45967362792726], [-0.5585121227988129, 47.45911633831195], [-0.5586011331172491, 47.45886958018087], [-0.5539659021647011, 47.45709863446704], [-0.553992206440722, 47.45703344459538], [-0.5539225409336612, 47.45697643201911], [-0.5534747796428033, 47.45680644184676], [-0.5526106241901962, 47.456452975295825], [-0.5530140297436607, 47.4584778456011], [-0.5517531650058725, 47.45858102851699]]], ""type"": ""Polygon""}";47.458973595101625, -0.5548341643530843
