Bureaux;Inscrits;Votants;Enveloppes;Nuls;Exprimés;Procurations;ANGERS VIVRE MIEUX;ANGERS BLEU MARINE;CONTRE POLITIQUES D'AUSTERITE;SERVIR ANGERS;ANGERS POUR VOUS;AIMER ANGERS;L'ENERGIE DE FAIRE;LUTTE OUVRIERE;RESISTER, CONSTRUIRE A GAUCHE
00103 - ECOLE MATERNELLE MARIE TALET;1184.0;689.0;689.0;16.0;673.0;23.0;31.0;36.0;2.0;56.0;230.0;202.0;93.0;7.0;16.0
00202 - ECOLE MATERNELLE LAREVELLIERE;1116.0;677.0;677.0;20.0;657.0;18.0;12.0;84.0;1.0;42.0;239.0;188.0;74.0;5.0;12.0
00209 - ECOLE MATERNELLE HENRI CHIRON;1296.0;835.0;835.0;23.0;812.0;24.0;41.0;47.0;3.0;52.0;249.0;241.0;155.0;6.0;18.0
00210 - ECOLE MATERNELLE HENRI CHIRON;1011.0;588.0;588.0;14.0;574.0;11.0;26.0;55.0;4.0;30.0;196.0;143.0;98.0;11.0;11.0
00305 - ECOLE PRIMAIRE DE LA BLANCHERAIE;1284.0;834.0;834.0;21.0;813.0;30.0;30.0;50.0;1.0;70.0;369.0;186.0;92.0;4.0;11.0
00306 - ECOLE PRIMAIRE DE LA BLANCHERAIE;940.0;606.0;606.0;8.0;598.0;22.0;18.0;21.0;4.0;57.0;265.0;152.0;60.0;4.0;17.0
00307 - LYCEE DAVID D'ANGERS;1030.0;660.0;660.0;7.0;653.0;50.0;16.0;21.0;0.0;52.0;416.0;93.0;53.0;0.0;2.0
00308 - LYCEE DAVID D'ANGERS;942.0;660.0;660.0;8.0;652.0;40.0;23.0;38.0;3.0;73.0;314.0;104.0;89.0;2.0;6.0
00310 - ECOLE CONDORCET;1134.0;766.0;766.0;21.0;745.0;41.0;26.0;51.0;0.0;63.0;371.0;128.0;98.0;2.0;6.0
00316 - ECOLE PRIMAIRE ALFRED CLEMENT;1145.0;759.0;759.0;11.0;748.0;38.0;24.0;37.0;1.0;88.0;337.0;142.0;106.0;1.0;12.0
00318 - ECOLE PRIMAIRE ALFRED CLEMENT;1178.0;726.0;726.0;14.0;712.0;39.0;28.0;30.0;1.0;86.0;323.0;128.0;108.0;2.0;6.0
00319 - LYCEE DAVID D'ANGERS;996.0;688.0;688.0;7.0;681.0;51.0;14.0;27.0;1.0;91.0;372.0;116.0;50.0;3.0;7.0
00402 - ECOLE RENE BROSSARD;1089.0;593.0;593.0;25.0;568.0;0.0;19.0;49.0;3.0;34.0;199.0;142.0;106.0;6.0;10.0
00406 - ECOLE MATERNELLE ADRIEN TIGEOT;1235.0;692.0;692.0;22.0;670.0;23.0;18.0;43.0;4.0;46.0;221.0;191.0;129.0;5.0;13.0
00505 - ECOLE MATERNELLE J.J ROUSSEAU;1219.0;665.0;665.0;13.0;652.0;8.0;11.0;79.0;9.0;45.0;182.0;221.0;86.0;10.0;9.0
00506 - ECOLE MATERNELLE J.J.ROUSSEAU;959.0;642.0;642.0;15.0;627.0;21.0;16.0;66.0;4.0;23.0;209.0;159.0;128.0;9.0;13.0
