CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
00151;930;2391;23290;58.2;;;;;;;;;;80.5;72.5;2.6;5.4;23.8;7.6;3.8;2.4;0.8;0.6;-15.7;14370;35250;2.5
00152;910;2251;19980;45.3;13.1;;;;;;;;;72.3;65.1;3.1;4.1;29;6;5.8;2.4;2.5;0.9;-13.1;11710;30850;2.6
00153;967;2518;23350;60.4;;;;;;;;;;74.4;65.9;2.4;6.1;31;7.3;3.4;2;0.9;0.5;-16.1;14180;36350;2.6
00154;1043;2162;17110;33.5;25.1;;;;;;;17.9;38.9;51.4;39.3;3.5;8.6;42.1;11.4;7.7;2.1;3.4;2.2;-12.6;8900;30300;3.4
00155;1105;2293;19570;45.2;14.4;;;;;;;;;56;44.3;2.5;9.2;43.6;11.2;3.7;1.4;1.4;0.9;-14.5;11310;35710;3.2
00157;1182;2326;18740;42.3;16.4;;;;;;;;27.3;58.9;49.2;2.5;7.2;38.3;10.5;6.3;1.9;2.8;1.6;-14;10960;31790;2.9
00158;1228;2544;20680;50.8;12;;;;;;;;;53.9;48.5;2.1;3.3;46.5;8.2;4.7;2;1.5;1.2;-13.3;11840;30530;2.6
00159;1418;3241;21210;51.3;10.1;;;;;;;;19.4;73.3;66.3;3.5;3.5;27.8;8;4.7;2.3;1.3;1.1;-13.8;12510;32570;2.6
00160;1516;3676;20280;43;13.8;;;;;;;8.5;24.5;73.5;65.1;3.4;5;27.1;5.8;7;2.6;2.8;1.6;-13.4;11510;31580;2.7
00161;1449;3356;20960;46.5;9.4;;;;;;;;;69.3;61.2;3.3;4.8;30.3;8.4;5.5;2.8;1.6;1.1;-13.5;12910;32660;2.5
00162;1441;3057;18180;39.5;19.8;;;;;;;10.5;35.4;59.2;51.6;3.2;4.4;38.5;6.6;8.2;2.3;3.9;2;-12.5;10640;29150;2.7
00163;1757;3944;21240;49.6;8.9;;;;;;;6.9;;64;54.9;2.6;6.5;37.8;9.1;3.6;2;1;0.6;-14.5;13040;35290;2.7
00164;1813;4127;23150;50.2;10.9;;;;;;;;20.6;78;70;3.4;4.6;24.8;7.7;3.4;1.7;0.9;0.8;-13.9;12380;45350;3.7
00165;1752;3794;18590;42.3;18.5;;;26.6;;;;;33.2;57.9;50.5;3.2;4.2;37.7;11.1;7.6;2.1;3.5;2;-14.3;10670;31450;2.9
00166;1617;3150;17950;36;21.6;;;;;;;;34.2;50.8;43.6;3.4;3.8;44.3;9.1;7.8;2.1;3.3;2.4;-12;10110;29080;2.9
00168;1849;4645;23960;62.4;5.3;;;;;;;;;77.1;68.3;2.4;6.4;27.5;10.1;3;1.7;0.8;0.5;-17.7;14910;41380;2.8
00169;2056;4787;22790;58.5;7.6;;;;;;;5.8;;76.6;70.2;3.1;3.3;29.9;6.1;3.3;1.7;0.9;0.7;-15.9;14020;36700;2.6
00170;2260;4747;17750;36.3;21.1;;;27.2;;;;13.3;37.3;55;46.6;3.4;5;41.8;8;7.7;2.4;3.4;1.9;-12.5;10080;29830;3
00171;1962;4823;21370;50.1;9.8;;;;;;;7.3;;70.6;62.1;2.9;5.6;31.2;8.2;4.3;2.2;1.3;0.8;-14.3;12720;33470;2.6
00251;2525;4998;21930;54.2;11.4;;;;;;;7.7;25.3;45.5;36.4;2.4;6.7;55;11.7;3.6;1.3;1.5;0.8;-15.8;12170;37710;3.1
00252;2546;4982;18140;35.7;21.6;;34.3;22.8;23.5;;;10.4;40.6;53.3;45.3;3.5;4.5;41.7;8.7;9.1;2.2;4.5;2.4;-12.8;9900;30530;3.1
00253;2708;5928;20330;44.3;10.2;;;;;;;5.6;20.2;67.2;59.4;2.6;5.2;31.9;9.5;5.1;2.4;1.6;1.1;-13.7;12600;31830;2.5
00254;2492;4687;19730;45.8;17.1;;;;;;;9.7;29.8;51.9;45;2.8;4.1;47.6;7.7;7.2;1.8;3.5;1.9;-14.4;10910;32030;2.9
